นิติบุคคลจัดตั้งเดือนตุลาคม 2561,,,,,,,,,,,
ทั่วประเทศ,,,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,ตำบล,อำเภอ,จังหวัด,"รหัส
ไปรษณีย์"
403,0205561037453,บจ.จีจี แคริเออร์ จำกัด,9/10/2561," 1,000,000 ",52291,กิจกรรมการบริหารจัดการด้านการขนส่งและสถานที่เก็บสินค้า,55/261  หมู่บ้าน เดอะ วัลเลย์ หมู่ที่ 3 ถนนทางหลวง 331,ต.บ่อวิน,อ.ศรีราชา,จ.ชลบุรี,20230
404,0205561037496,บจ.ทริปเปิ้ลที แอดวานซ์ แอนด์ เซอร์วิส จำกัด,10/10/2561," 1,000,000 ",25922,กิจการรับจ้างเหมางานเชื่อม กลึง กัด ใส งานท่อ งานตัด,250/161  หมู่ที่ 3,ต.บ่อวิน,อ.ศรีราชา,จ.ชลบุรี,20230
405,0205561037500,บจ.สุรัฐ คอนสตรัคชั่น แอนด์ ซัพพลาย จำกัด,10/10/2561," 1,000,000 ",41002,กิจการก่อสร้าง,271/67  หมู่ที่ 6,ต.บ่อวิน,อ.ศรีราชา,จ.ชลบุรี,20230
406,0205561037631,บจ.ทีเอ็มแอล อกรีคัลเจอร์ กรุ๊ป จำกัด,10/10/2561," 1,000,000 ",46101,กิจการนำเข้าส่งออกสินค้าทางการเกษตร,32/1  หมู่ที่ 4,ต.บ่อวิน,อ.ศรีราชา,จ.ชลบุรี,20230
407,0205561038093,บจ.บี.เอส.อาร์. ทรานสปอร์ต(2018) จำกัด,12/10/2561," 1,000,000 ",49323,กิจการขนส่ง,52/46  หมู่ที่ 9,ต.ทุ่งสุขลา,อ.ศรีราชา,จ.ชลบุรี,20230
408,0205561038204,บจ.พีเค เอ็นจิเนียริ่ง ทูลส์ จำกัด,16/10/2561," 1,000,000 ",82990,ประกอบกิจการรับจ้างงานทุกประเภท,35/4  หมู่ที่ 1,ต.บ่อวิน,อ.ศรีราชา,จ.ชลบุรี,20230
409,0205561038832,บจ.อโยธยา อิมพอร์ต เอ็กซ์พอร์ต จำกัด,19/10/2561," 1,000,000 ",46312,การขายส่งปลาและผลิตภัณฑ์สัตว์น้ำ,2/35  หมู่ที่ 1,ต.ทุ่งสุขลา,อ.ศรีราชา,จ.ชลบุรี,20230
410,0205561038921,บจ.วีเปค จำกัด,22/10/2561," 1,000,000 ",46695,ประกอบกิจการซื้อ ขาย ของเก่า และรีไซเคิลเพื่อนำกลับมาใช้ใหม่และงานอื่นๆที่เกี่ยวข้องทุกชนิด,182/50  หมู่ที่ 11,ต.ทุ่งสุขลา,อ.ศรีราชา,จ.ชลบุรี,20230
411,0205561039146,บจ.เสาร์ 5 ทรานสปอร์ต จำกัด,25/10/2561," 1,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ,67/6  หมู่ที่ 8,ต.บึง,อ.ศรีราชา,จ.ชลบุรี,20230
412,0205561039529,บจ.จีที เทรดดิ้งแอนด์เซอร์วิส จำกัด,29/10/2561," 1,000,000 ",47190,ประกอบกิจการค้าวัสดุสินเปลืองทั่วไปและวัตถุดิบที่ใช้ในอุตสาหกรรมการผลิต,129/17  หมู่ที่ 3,ต.บ่อวิน,อ.ศรีราชา,จ.ชลบุรี,20230
413,0205561039731,บจ.ส เอกราช จำกัด,30/10/2561," 1,000,000 ",49329,ประกอบกิจการให้บริการรับขนส่งด้วยรถยนต์รับจ้างทั้งขนาดเล็กและขนาดใหญ่,138/2  หมู่ที่ 5,ต.บึง,อ.ศรีราชา,จ.ชลบุรี,20230
414,0205561039863,บจ.ตลาดซุปเปอร์เช็ง ศรีราชา จำกัด,30/10/2561," 1,000,000 ",68102,ประกอบกิจการซื้อขายเช่าให้เช่าเช่าซื้อแลกเปลี่ยนซื้อฝากจำนองที่ดินสิ่งปลูกสร้าง อสังหาริมทรัพย์ และสังหาริมทรัพย์ รวมทั้งการจำนำ เช่า และให้เช่าอสังหาริมทรัพย์ทุกชนิด,287/172  หมู่ที่ 3,ต.บ่อวิน,อ.ศรีราชา,จ.ชลบุรี,20230
415,0203561004481,หจ.โชคอรุณวรรณ ทรานสปอร์ต,1/10/2561," 1,000,000 ",49339,ประกอบกิจการรับจ้างขนส่งสิ่งของทุกประเภท,437  หมู่ที่ 4,ต.เกาะจันทร์,อ.เกาะจันทร์,จ.ชลบุรี,20240
416,0203561004715,หจ.สายชลเสาเข็ม,11/10/2561," 1,000,000 ",47524,จำหน่ายเสาเข็ม ผลิตภัณฑ์คอนกรีตสำเร็จรูป,422  หมู่ที่ 5,ต.เกาะจันทร์,อ.เกาะจันทร์,จ.ชลบุรี,20240
417,0205561036813,บจ.โมคุ แฟคทอรี่ จำกัด,4/10/2561," 1,000,000 ",31001,การผลิตเฟอร์นิเจอร์ไม้ชนิดใช้ในครัวเรือน,107/1  หมู่ที่ 1,ต.ท่าบุญมี,อ.เกาะจันทร์,จ.ชลบุรี,20240
418,0205561036881,บจ.แอดวานซ์ อินฟินิตี้ กรุ๊ป จำกัด,4/10/2561," 1,000,000 ",28230,ประกอบกิจการรับออกแบบ รับประกอบ รับซ่อมแม่พิมพ์สำหรับโรงงานอุตสาหกรรม,269/3  หมู่ที่ 10,ต.เกาะจันทร์,อ.เกาะจันทร์,จ.ชลบุรี,20240
419,0205561036988,บจ.บิ๊ก ทรานส์ เซอร์วิส จำกัด,5/10/2561," 1,000,000 ",96309,ประกอบกิจการบริการรับจดทะเบียนยานพาหนะทุกประเภท เขียนแบบดัดแปลงรถ ทำเรื่องเอกสารต่อทะเบียน,154  หมู่ที่ 10,ต.นาวังหิน,อ.พนัสนิคม,จ.ชลบุรี,20240
420,0205561037437,บจ.อีซี่มาร์ท แอนด์ แกดเจ็ต จำกัด,9/10/2561," 1,000,000 ",46494,ประกอบกิจการค้าเครื่องเคหภัณฑ์ เครื่องเรือน เฟอร์นิเจอร์ เครื่องแก้ว เครื่องครัวตู้เย็น เครื่องปรับอากาศ เครื่องฟอกอากาศ พัดลม เครื่องดูดอากาศ หม้อหุงข้าวไฟฟ้า เตารีดไฟฟ้า เครื่องทำความร้อน,212  หมู่ที่ 4 ถนนเกาะโพธิ์-สามแยก,ต.ท่าบุญมี,อ.เกาะจันทร์,จ.ชลบุรี,20240
421,0205561036686,บจ.กรุ๊ป ไอแลนด์ สปีริต เมนูแฟคเจอริ่ง จำกัด,3/10/2561," 1,000,000 ",68102,กิจการซื้อ ขาย ให้เช่า เป็นนายหน้า ตัวแทนค้า ดำเนินการเกี่ยวกับอสังหาริมทรัพย์,167/5  อาคารโอเชียนมารีน่า หมู่ที่ 4 ถนนสุขุมวิท กม.157,ต.นาจอมเทียน,อ.สัตหีบ,จ.ชลบุรี,20250
422,0205561037119,บจ.โอเคซายน์ พัทยา จำกัด,5/10/2561," 1,000,000 ",73101,ประกอบกิจการรับทำป้าย ออกแบบ ติดตั้ง งานสั่งพิมพ์สื่อโฆษณา โบว์ชัวร์ นามบัตร ตรายาง ทุกชนิด,5/85  หมู่ที่ 1,ต.นาจอมเทียน,อ.สัตหีบ,จ.ชลบุรี,20250
423,0205561038018,บจ.ยูนิเวอร์แซล ซี เซฟตี้ เซอร์วิสเซส แอนด์ คอนซัลท์ จำกัด,12/10/2561," 1,000,000 ",82301,กิจการฝึกอบรมเกี่ยวกับความปลอดภัย,5/152  หมู่ที่ 7,ต.บางเสร่,อ.สัตหีบ,จ.ชลบุรี,20250
424,0205561039308,บจ.ดรีมคัมทรู กรุ๊ป จำกัด,25/10/2561," 1,000,000 ",46103,กิจการนำเข้า ส่งออก สินค้าเสริมความงาม,224/47  หมู่ที่ 8,ต.บางเสร่,อ.สัตหีบ,จ.ชลบุรี,20250
425,0205561039987,บจ.ขุนอินทร์ เรสซิเดนซ์ จำกัด,31/10/2561," 1,000,000 ",68103,ประกอบกิจการ ให้เช่าบ้าน เช่าอพาร์เม้นท์,99/96  หมู่ที่ 7,ต.บางเสร่,อ.สัตหีบ,จ.ชลบุรี,20250
426,0203561004618,หจ.เอ็ม.เอ็ม.แอล. เมดิแคร์ แอนด์ เนิร์สซิ่ง กรุ๊ป,8/10/2561," 1,000,000 ",86909,กิจการบริการห้องพยายาลประจำโรงงาน,201  หมู่ที่ 1,ต.บ่อทอง,อ.บ่อทอง,จ.ชลบุรี,20270
427,0205561037887,บจ.พีอาร์เค คอนสตรัคชั่น (2018) จำกัด,12/10/2561," 1,000,000 ",41002,ประกอบกิจการ รับเหมาก่อสร้าง,36  หมู่ที่ 6,ต.บ่อกวางทอง,อ.บ่อทอง,จ.ชลบุรี,20270
428,0203561004766,หจ.สิทธิโพฮิราคุ เซอร์วิส แอนด์ เทรด,16/10/2561," 800,000 ",46694,การขายส่งบรรจุภัณฑ์ชนิดใช้ในทางอุตสาหกรรม,400/485  หมู่ที่ 5,ต.คลองตำหรุ,อ.เมืองชลบุรี,จ.ชลบุรี,20000
429,0203561004952,หจ.นภัส เมดิแคร์,26/10/2561," 800,000 ",86201,ประกอบกิจการ สถานพยาบาลประเภทที่ไม่รับผู้ป่วยในไว้ค้างคืน(คลีนิก),41/85  หมู่ที่ 9,ต.บางพระ,อ.ศรีราชา,จ.ชลบุรี,20210
430,0203561004880,หจ.โชคอำไพ 89,24/10/2561," 800,000 ",47222,น้ำดื่ม,249/7  หมู่ที่ 12,ต.ทุ่งสุขลา,อ.ศรีราชา,จ.ชลบุรี,20230
431,0203561004561,หจ.วรพงษ์ สปอร์ต ซิตี้,4/10/2561," 500,000 ",47630,ประกอบกิจการจำหน่าย วัสดุ-อุปกรณ์การแข่งขันกีฬา เครื่องเล่นกีฬาและนันทนาการ สินค้าที่เกี่ยวกับกีฬาทุกขนิดทุกประเภท อาทิ ลูกฟุตบอล ลูกวอลเลย์บอล ตะกร้อ,62/159  หมู่ที่ 2,ต.บ้านสวน,อ.เมืองชลบุรี,จ.ชลบุรี,20000
432,0203561004588,หจ.พีอาร์ เซอร์วิส 2018,5/10/2561," 500,000 ",66210,รับตรวจสอบอุบัติเหตุจากบริษัทประกันภัยต่างๆ รับตรวจสอบสภาพรถยนต์และอื่นๆ ที่เกี่ยวข้องทุกประเภท,685ม  ซอยคลองสังเขป,ต.บ้านโขด,อ.เมืองชลบุรี,จ.ชลบุรี,20000
433,0203561004651,หจ.ไร่กล้วยไบค์,9/10/2561," 500,000 ",47630,ประกอบกิจการจำหน่ายจักรยาน สำหรับผู้ใหญ่ จักรยานเด็กและอุปกรณ์นักปั่น,100/53-56  หมู่ที่ 2,ต.สุรศักดิ์,อ.ศรีราชา,จ.ชลบุรี,20110
434,0205561039618,บจ.ริชลี่ คอสเมติกส์ กรุ๊ป จำกัด,29/10/2561," 500,000 ",47723,ประกอบกิจการค้าเครื่องสำอาง และวัสดุเสริมความงามทุกชนิด,8/92  หมู่ที่ 9,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,20150
435,0203561004596,หจ.ภาณุแอร์รุ่งเรือง,5/10/2561," 500,000 ",47595,ประกอบกิจการจำหน่ายเครื่องปรับอากาศพร้อมอะไหล่-อุปกรณ์ และจำหน่ายอะไหล่เครื่องใช้ไฟฟ้าทุกชนิด,131/1  หมู่ที่ 3,ต.บ้านบึง,อ.บ้านบึง,จ.ชลบุรี,20170
436,0203561004774,หจ.ซี สตาร์ เวิลด์ ทัวร์,17/10/2561," 500,000 ",79909,ประกอบกิจการจัดจำหน่ายแพ็กเก็จท่องเที่ยวและอื่นๆที่เกี่ยวข้อง,57/310  หมู่ที่ 6,ต.สัตหีบ,อ.สัตหีบ,จ.ชลบุรี,20180
437,0203561004995,หจ.พีพี ซัพพลาย 61,30/10/2561," 500,000 ",49323,ประกอบกิจการขนส่ง จัดเก็บสินค้าวัสดุภัณฑ์,26/49  หมู่ที่ 4,ต.สัตหีบ,อ.สัตหีบ,จ.ชลบุรี,20180
438,0203561004570,หจ.ทรัพย์ศศิร์ธา,5/10/2561," 500,000 ",42202,การก่อสร้างโครงการสาธารณูปโภคเกี่ยวกับสายส่งไฟฟ้ากำลังและสายสัญญาณสื่อสาร,214/233  หมู่ที่ 3,ต.บึง,อ.ศรีราชา,จ.ชลบุรี,20230
439,0203561004529,หจ.อุ้มอั้ม,3/10/2561," 400,000 ",27320,กิจการรับทำสายไฟฟ้าอิเล็คทรอนิกส์,4/97  หมู่ที่ 2,ต.ตะเคียนเตี้ย,อ.บางละมุง,จ.ชลบุรี,20150
440,0203561004464,หจ.เอ.เอ็น เพ้นท์,1/10/2561," 300,000 ",46691,ประกอบกิจการจำหน่าย สีรถยนต์ สีพ่นรถยนต์,17/28  หมู่ที่ 6,ต.บ้านสวน,อ.เมืองชลบุรี,จ.ชลบุรี,20000
441,0203561005011,หจ.เค.เอส แปดแปด คอนสทรัคชั่น,31/10/2561," 200,000 ",41001,การก่อสร้างอาคารที่พักอาศัย,45/50  หมู่ที่ 7,ต.เสม็ด,อ.เมืองชลบุรี,จ.ชลบุรี,20000
442,0203561004740,หจ.เอ็น พี โฟม,11/10/2561," 200,000 ",46499,กิจการจำหน่ายโฟม,353/4  หมู่ที่ 8,ต.หนองขาม,อ.ศรีราชา,จ.ชลบุรี,20110
443,0203561004898,หจ.ทรัพย์มงคล9888,25/10/2561," 200,000 ",47749,ร้านขายปลีกสินค้าใช้แล้วอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,480/91  หมู่บ้าน วาสนา หมู่ที่ 11,ต.หนองขาม,อ.ศรีราชา,จ.ชลบุรี,20110
444,0205561036708,บจ.อินเด็กซ์ มาร์เก็ตติ้ง จำกัด,3/10/2561," 200,000 ",73101,ประกอบกิจการบริการรับจัดกิจกรรมส่งเสริมการขาย การตลาด การโฆษณา ประชาสัมพันธ์,129/174 หมู่ที่ 1 ,ต.หนองขาม,อ.ศรีราชา,จ.ชลบุรี,20110
445,0205561039481,บจ.ธันยนันท์ คอนซัลแตนท์ จำกัด,26/10/2561," 100,000 ",70209,ประกอบกิจการรับเป็นที่ปรึกษาให้ความรู้และให้คำแนะนำด้านการขายบริหารงานและการพัฒนาคุณภาพบุคลากรฯลฯ,483/152  หมู่ที่ 3,ต.หนองขาม,อ.ศรีราชา,จ.ชลบุรี,20110
446,0203561004863,หจ.เฟรนด์ เอซี 2018,22/10/2561," 100,000 ",69200,ประกอบกิจการรับทำบัญชี ตรวจสอบบัญชี วางระบบบัญชี และรับเป็นที่ปรึกษาทางบัญชีและการเงิน,126/163  หมู่ที่ 8,ต.บางละมุง,อ.บางละมุง,จ.ชลบุรี,20150
447,0205561037071,บจ.ยูโร คอนโด จำกัด,5/10/2561," 10,000 ",68102,กิจการซื้อ ขาย ให้เช่า เป็นนายหน้า ตัวแทนค้า ดำเนินการเกี่ยวกับอสังหาริมทรัพย์,217/25  หมู่ที่ 12 ซอย15 ถนนเทพประสิทธิ์,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,20150
1,0215561009018,บจ.เจ-เทค แมททีเรียล แฮนด์ลิ่ง จำกัด,30/10/2561," 102,500,000 ",33200,ประกอบกิจการออกแบบ ติดตั้ง เครื่องจักร,9  ถนนผังเมืองเฉพาะ 3-1,ต.ห้วยโป่ง,อ.เมืองระยอง,จ.ระยอง,21150
2,0215561008437,บจ.อีโก้ กรีน อินเตอร์เนชั่นแนล จำกัด,5/10/2561," 15,000,000 ",28199,ผลิตและจำหน่ายเครื่องย่อยสลายขยะ ในประเทศ และต่างประเทศ,225/36  หมู่ที่ 2,ต.นิคมพัฒนา,อ.นิคมพัฒนา,จ.ระยอง,21180
3,0213561002143,หจ.อีอีซี เงินทันใจ,2/10/2561," 5,000,000 ",64929,รับจำนำทรัพย์สินจากบุคคลใด ๆ เพื่อเป็นหลักประกันให้กู้ยืม รับขายฝาก รับซื้อฝากทรัพย์สินทุกชนิดเว้นแต่ในธุรกิจของธนาคาร ธุรกิจเงินทุน,2/12  ถนนจันทอุดม,ต.ท่าประดู่,อ.เมืองระยอง,จ.ระยอง,21000
4,0215561008518,บจ.5 มิตรภาพ จำกัด,9/10/2561," 5,000,000 ",78200,ประกอบกิจการรับเหมาแรงงานทุกประเภท,2/23  หมู่ที่ 2,ต.หนองละลอก,อ.บ้านค่าย,จ.ระยอง,21120
5,0215561008607,บจ.อินฟินิตี้ เอสเตท ดีเวลลอปเมนท์ จำกัด,11/10/2561," 5,000,000 ",41001,การก่อสร้างอาคารที่พักอาศัย,292/29  หมู่ที่ 3,ต.บ้านฉาง,อ.บ้านฉาง,จ.ระยอง,21130
6,0215561008313,บจ.ไครนัม จำกัด,2/10/2561," 5,000,000 ",64929,ประกอบกิจการธุรกิจปล่อยกู้ สินเชื่อรายย่อยระดับจังหวัดภายใต้การกำกับ (สินเชื่อพิโกไฟแนนซ์) เว้นแต่ในธุรกิจธนาคาร ธุรกิจเงินทุน,158  หมู่ที่ 3,ต.แม่น้ำคู้,อ.ปลวกแดง,จ.ระยอง,21140
7,0215561008470,บจ.ไห่เหยน เคเบิล (ไทยแลนด์) จำกัด,8/10/2561," 5,000,000 ",46105,ประกอบกิจการนำเข้าส่งออก ธุรกิจจัดซื้อ และขาย แปรรูป สายไฟ สายเคเบิล ส่วนประกอบอิเล็กทรอนิคส์,7/506  หมู่ที่ 6,ต.มาบยางพร,อ.ปลวกแดง,จ.ระยอง,21140
8,0215561008615,บจ.ตรีศิริ 2018 จำกัด,12/10/2561," 5,000,000 ",68102,ประกอบกิจการแบ่งและจัดสรรที่ดินเพื่อจำหน่าย จัดทำโครงการหมู่บ้านจัดสรร กิจการค้าอสังหาริมทรัพย์,94  หมู่ที่ 5,ต.ปลวกแดง,อ.ปลวกแดง,จ.ระยอง,21140
9,0215561008909,บจ.ศรีอุบลวิลล่า จำกัด,26/10/2561," 5,000,000 ",68101,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเอง เพื่อการพักอาศัย,101/6  หมู่บ้าน อีสเทอร์น วัลเลย์ หมู่ที่ 2,ต.มาบยางพร,อ.ปลวกแดง,จ.ระยอง,21140
10,0215561008348,บจ.สุธาวัฒน์ เรียลเอสเตต จำกัด,2/10/2561," 5,000,000 ",68102,ประกอบกิจการ ซื้อ ขาย อสังหาริมทรัพย์,22/7  หมู่ที่ 3,ต.เนินพระ,อ.เมืองระยอง,จ.ระยอง,21150
11,0215561008658,บจ.กุญชรพานิช (2018) จำกัด,12/10/2561," 5,000,000 ",45302,ประกอบกิจการ จำหน่ายอะไหล่รถยนต์ และอุปกรณ์เกี่ยวกับรถยนต์ทุกชนิด,552/2  ถนนสุขุมวิท,ต.เนินพระ,อ.เมืองระยอง,จ.ระยอง,21150
12,0215561008721,บจ.วีพี กรุ๊ป พร็อพเพอร์ตี้ จำกัด,17/10/2561," 5,000,000 ",41001,ก่อสร้างอาคารที่พักอาศัยทุกประเภท,582/2  ถนนสุขุมวิท,ต.เนินพระ,อ.เมืองระยอง,จ.ระยอง,21150
13,0215561008763,บจ.เลนดิ้งเทค จำกัด,19/10/2561," 5,000,000 ",64195,ประกอบกิจการเป็นตัวกลางในการกู้ยืมเงินและเป็นตัวกลางในการให้คำปรึกษาด้านการกู้ยืมเงิน,80/6  หมู่ที่ 3,ต.เนินพระ,อ.เมืองระยอง,จ.ระยอง,21150
14,0215561008887,บจ.บุญส่งทรัพย์ทรานสปอร์ต จำกัด,24/10/2561," 5,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ,9/17  หมู่ที่ 4,ต.เนินพระ,อ.เมืองระยอง,จ.ระยอง,21150
15,0215561008526,บจ.จี แอนด์ เอส เรียลตี้ จำกัด,9/10/2561," 5,000,000 ",55109,ประกอบกิจการที่พ้กแรม และบริการด้านอาหาร,21/15  ถนนทางหลวงแผ่นดินสาย 36,ต.มาบข่า,อ.นิคมพัฒนา,จ.ระยอง,21180
16,0215561008534,บจ.บีเอ็นเค อินเตอร์เทรด จำกัด,10/10/2561," 5,000,000 ",71102,ให้บริการตรวจสอบแนวเชื่อมของชิ้นงาน และเครื่องจักรทุกชนิด,21/6  ถนนทางหลวงแผ่นดินสาย 36,ต.มาบข่า,อ.นิคมพัฒนา,จ.ระยอง,21180
17,0215561008623,บจ.พันทิวรรณ จำกัด,12/10/2561," 3,000,000 ",47732,ขายปลีกเครื่องประดับ เช่น ทองคำแท่ง และทองรูปพรรณ หินมีค่า นาก เงิน,1  ถนนตากสินมหาราช,ต.ท่าประดู่,อ.เมืองระยอง,จ.ระยอง,21000
18,0215561008933,บจ.75 กรุ๊ป จำกัด,29/10/2561," 3,000,000 ",46318,จำหนายกาแฟทุกชนิด,117  ซอยศูนย์การค้าสาย 4 ถนนสุขุมวิท,ต.ท่าประดู่,อ.เมืองระยอง,จ.ระยอง,21000
19,0215561009000,บจ.เนิร์ส สกิน (ประเทศไทย) จำกัด,30/10/2561," 3,000,000 ",47723,การค้าเครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงามทุกชนิด,150/16  หมู่ที่ 1,ต.บ้านแลง,อ.เมืองระยอง,จ.ระยอง,21000
20,0213561002216,หจ.วิไลทรายทอง2018,9/10/2561," 3,000,000 ",47524,ประกอบกิจการจำหน่ายทราย,19  หมู่ที่ 4,ต.ชำฆ้อ,อ.เขาชะเมา,จ.ระยอง,21110
21,0213561002291,หจ.จรินธร ฟู้ดส์,16/10/2561," 3,000,000 ",56292,บริการโรงอาหารในหน่วยงาน ตามที่ได้รับสทธิบริการอาหารในสถานที่,399/176  หมู่ที่ 3,ต.มาบยางพร,อ.ปลวกแดง,จ.ระยอง,21140
22,0215561008330,บจ.เอส.เอ.โกร-อัพ เอ็นจิเนียริ่ง จำกัด,2/10/2561," 3,000,000 ",28199,ประกอบกิจการรับจ้างผลิต ชิ้นส่วน อะไหล่ อุปกรณ์ เครื่องมือ เครื่องจักร ทุกชนิด ทุกประเภท,88/377  หมู่ที่ 4,ต.มาบยางพร,อ.ปลวกแดง,จ.ระยอง,21140
23,0215561008411,บจ.เอ็น แอนด์ วาย ชฎาพร จำกัด,5/10/2561," 3,000,000 ",47219,จำหน่ายอาหารทุกประเภท,939/14  หมู่ที่ 4,ต.ปลวกแดง,อ.ปลวกแดง,จ.ระยอง,21140
24,0215561008976,บจ.ไฟเบอร์กลาส แฟบริเคชั่นส์(ไทยแลนด์) จำกัด,29/10/2561," 2,000,000 ",22292,ประกอบกิจการผลิตผลิตภัณฑ์ไฟเบอร์กลาสทุกชนิด เช่น ท่อ ถังไฟเบอร์กลาส สุขภัณฑ์ เป็นต้น,19/6  หมู่ที่ 2,ต.พลา,อ.บ้านฉาง,จ.ระยอง,21130
25,0215561008267,บจ.แก้วขมิ้น จำกัด,1/10/2561," 2,000,000 ",46695,ค้าของเก่า ของเสียและเศษวัสดุเพื่อนำกลับไปใช้ใหม่,190/3  หมู่ที่ 4,ต.ปลวกแดง,อ.ปลวกแดง,จ.ระยอง,21140
26,0215561008739,บจ.เจนเนอรัล รับเบอร์ (ไทยแลนด์) จำกัด,18/10/2561," 2,000,000 ",22111,ประกอบกิจการผลิต แปรรูป จำหน่าย นำเข้า ส่งออก การค้า ยางรถยนต์และผลิตภัณฑ์ที่เกี่ยวข้อง,9/17  หมู่ที่ 4,ต.เนินพระ,อ.เมืองระยอง,จ.ระยอง,21150
27,0215561008992,บจ.ธนาชาง โทเทิ่ลโซลูชั่นส์ จำกัด,30/10/2561," 2,000,000 ",41002,รับเหมาก่อสร้าง ต่อเติม โรงงานอุตสาหกรรม อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำงาน ถนน สะพาน,49/26  ถนนหัวน้ำตก,ต.มาบตาพุด,อ.เมืองระยอง,จ.ระยอง,21150
28,0213561002208,หจ.ไทย เจนโค่เพาเวอร์ อินเตอร์เนชั่นแนล,8/10/2561," 2,000,000 ",46109,นำเข้า ส่งออก เครื่องอุปโภคบริโภค,25  หมู่ที่ 7,ต.แกลง,อ.เมืองระยอง,จ.ระยอง,21160
29,0215561008810,บจ.โกลด์ซิลค์โรด อินเตอร์เนชั่นแนล เทรด (ไทยแลนด์) จำกัด,19/10/2561," 2,000,000 ",46209,ซื้อ-ขาย รังนกติบ ที่ทำความสะอาดแล้ว รังนกขวดสำเร็จรูปรวมทั้งรับจ้างทำความสะอาดรังนก จำหน่ายอุปกรณืเกี่ยวกับรังนก,119/16  หมู่ที่ 8,ต.คลองปูน,อ.แกลง,จ.ระยอง,21170
30,0215561008682,บจ.ยูไทย สตีล จำกัด,16/10/2561," 2,000,000 ",33200,ให้บริการ ออกแบบติดตั้ง และซ่อมบำรุงเครื่องจักรในโรงงานอุตสาหกรรม,239/42  หมู่ที่ 6,ต.นิคมพัฒนา,อ.นิคมพัฒนา,จ.ระยอง,21180
31,0213561002429,หจ.เอสวีที วิศวะกิจ แอนด์ ซัพพลาย 999,24/10/2561," 1,500,000 ",78200,ให้บริการรับเหมาแรงงานทั่วไป,9/132  หมู่ที่ 6,ต.บ้านฉาง,อ.บ้านฉาง,จ.ระยอง,21130
32,0215561008666,บจ.เฟื่องฟู โมบายล์ 2019 จำกัด,12/10/2561," 1,500,000 ",47413,จำหน่ายโทรศัพท์มือถือ อุปกรณ์สื่อสาร งานซ่อมบำรุง รวมทั้งอะไหล่ และอุปกรณ์ของสินค้าดังกล่าว,349/23  หมู่ที่ 1,ต.ปลวกแดง,อ.ปลวกแดง,จ.ระยอง,21140
33,0215561008674,บจ.ชัวร์โฟน จำกัด,12/10/2561," 1,500,000 ",47413,จำหน่ายโทรศัพท์มือถือ อุปกรณ์สื่อสาร งานซ่อมบำรุงรักษา รวมทั้งอะไหล่ และอุปกรณ์ ของสินค้าดังกล่าว,888  อาคารศูนย์การค้า ซีเค พลาซ่า  ห้องเลขที่ MB23  ชั้นที่ 2,ต.ปลวกแดง,อ.ปลวกแดง,จ.ระยอง,21140
34,0213561002178,หจ.อาร์เคเค ควอลิตี้ แอนด์ เซอร์วิส,4/10/2561," 1,000,000 ",43909,ประกอบกิจการบริการติดตั้ง รื้อถอน ซ่อมแซมนั่งร้าน พร้อมจัดหาวัสดุอุปกรณ์บริการ,49/81  หมู่ที่ 3,ต.ทับมา,อ.เมืองระยอง,จ.ระยอง,21000
35,0213561002305,หจ.ดีเอเจ กรุ๊ป,17/10/2561," 1,000,000 ",68102,ซื้อ ขาย บ้านที่ดิน จัดสรรที่ดิน พร้อมทั้งให้เช่าที่อยู่อาศัย ที่ดิน และพัฒนาอสังหาริมทรัพย์,37/1  ถนนจันทอุดม,ต.ท่าประดู่,อ.เมืองระยอง,จ.ระยอง,21000
36,0213561002313,หจ.ณิฌากาญจน์ 41 ช็อป,17/10/2561," 1,000,000 ",47723,ประกอบกิจการขายปลีก-ขายส่ง ครีมและเครื่องสำอาง ทาหน้าและทาผิว,39/206  หมู่ที่ 1,ต.ทับมา,อ.เมืองระยอง,จ.ระยอง,21000
37,0213561002445,หจ.ซีเคเอส คาร์เร้นท์,25/10/2561," 1,000,000 ",77101,บริการให้เช่า รถยนต์ รถตู้ รถเก๋ง และรถนั่งอเนกประเวงค์ทุกชนิด,141/14  หมู่ที่ 15,ต.ตะพง,อ.เมืองระยอง,จ.ระยอง,21000
